family,class,species,forma,sex,angle,webUrl,isMimic,background,antennalIllusion,photographer
Salticidae,Arachnida,Myrmarachne luctuosa,,,Dorsal,images/85.jpg,TRUE,Natural,FALSE,Jim
Thomisidae,Arachnida,Amyciaea albomaculata,,,Posterior,images/524.jpg,TRUE,Natural,FALSE,Jim
Corinnidae,Arachnida,Poecilipta sp1,,,Dorsal,images/606.jpg,TRUE,Natural,FALSE,Jim
Alydidae,Insecta,Riptortus abdominalis,,,Dorsal,images/736.jpg,TRUE,Artificial,FALSE,Jim
Alydidae,Insecta,Alydid3 sp1,,,Lateral,images/784.jpg,TRUE,Artificial,FALSE,Jim
Alydidae,Insecta,Alydid3 sp1,,,Dorsal,images/786.jpg,TRUE,Artificial,FALSE,Jim
Rhyparochromidae,Insecta,Daerlac nigricans,,,Dorsal,images/1773.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Anterior,images/2806.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne macleayana,,,Lateral right side,images/3171.jpg,TRUE,Artificial,TRUE,Jim
Salticidae,Arachnida,Myrmarachne luctuosa,,,Dorsal,images/3243.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne sp1,,,Lateral right side,images/3973.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne striatipes,,,Anterior,images/3976.jpg,TRUE,Artificial,FALSE,Jim
Thomisidae,Arachnida,Amyciaea albomaculata,,,Anterior,images/4592.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Myrmarachne sp 2,,,Anterior,images/GJA-4522.jpg,TRUE,Natural,TRUE,Greg Anderson
Salticidae,Arachnida,Myrmarachne erythrocephala,,,Lateral,images/146.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne erythrocephala,,,Posterior,images/147.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne erythrocephala,,,Dorsal,images/303.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Damoetas nitidus,,,Lateral,images/1545.jpg,TRUE,Natural,FALSE,Jim
Salticidae,Arachnida,Damoetas nitidus,,,Dorsal,images/1547.jpg,TRUE,Natural,TRUE,Jim
Salticidae,Arachnida,Myrmarachne bicolor,,,Lateral,images/2609.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Ligonipes semitectus,,,Dorsal,images/2626.jpg,TRUE,Artificial,FALSE,Jim
Salticidae,Arachnida,Judalana lutea,,,Dorsal,images/2647.jpg,TRUE,Artificial,FALSE,Jim
